income,age,sex,employment,education
28000,49,Male,Federal government employee,"some college credit, no degree"
117000,44,Male,Employee of a private for profit,Bachelor's degree
30000,23,Male,Private not-for-profit employee,GED or alternative credential
115000,44,Male,Federal government employee,"some college credit, no degree"
13000,31,Female,Private not-for-profit employee,Associate's degree
5600,39,Female,Federal government employee,Master's degree
40000,43,Female,Employee of a private for profit,Regular high school diploma
40000,48,Female,Employee of a private for profit,"some college credit, no degree"
128000,37,Male,Self employed not incorporated,Regular high school diploma
19000,20,Male,Employee of a private for profit,"some college credit, no degree"
30000,45,Male,Employee of a private for profit,"some college credit, no degree"
27000,31,Male,Employee of a private for profit,Associate's degree
40000,46,Female,Employee of a private for profit,"some college credit, no degree"
27000,31,Female,Employee of a private for profit,"some college credit, no degree"
19200,28,Male,Employee of a private for profit,no high school diploma
69000,42,Female,State government employee,Doctorate degree
40000,35,Female,Employee of a private for profit,Bachelor's degree
29100,41,Female,Employee of a private for profit,Associate's degree
12000,40,Female,Employee of a private for profit,Bachelor's degree
65000,44,Male,Local government employee,Regular high school diploma
48000,40,Female,Employee of a private for profit,"some college credit, no degree"
20800,26,Female,Employee of a private for profit,Regular high school diploma
25000,45,Male,Employee of a private for profit,Regular high school diploma
36000,30,Male,Employee of a private for profit,Regular high school diploma
48000,31,Male,Employee of a private for profit,"some college credit, no degree"
48000,30,Male,Private not-for-profit employee,Doctorate degree
35000,33,Male,Employee of a private for profit,Regular high school diploma
26000,39,Male,Employee of a private for profit,"some college credit, no degree"
30000,41,Male,Employee of a private for profit,Associate's degree
28000,30,Male,Employee of a private for profit,Regular high school diploma
1300,21,Female,Employee of a private for profit,Regular high school diploma
62000,28,Male,Private not-for-profit employee,Bachelor's degree
50000,47,Female,Employee of a private for profit,"some college credit, no degree"
50000,31,Female,Employee of a private for profit,Bachelor's degree
36000,38,Female,Employee of a private for profit,GED or alternative credential
14000,35,Male,Employee of a private for profit,"some college credit, no degree"
104000,36,Male,Self employed not incorporated,GED or alternative credential
80000,46,Male,Employee of a private for profit,"some college credit, no degree"
30000,46,Male,Employee of a private for profit,Regular high school diploma
56000,34,Female,State government employee,Master's degree
120000,41,Male,Employee of a private for profit,Bachelor's degree
25000,41,Female,Employee of a private for profit,Regular high school diploma
24000,36,Female,Employee of a private for profit,GED or alternative credential
80000,37,Female,Employee of a private for profit,Associate's degree
35000,46,Male,Self employed not incorporated,Regular high school diploma
15000,33,Female,Employee of a private for profit,no high school diploma
30000,41,Female,Employee of a private for profit,"some college credit, no degree"
59000,30,Male,Employee of a private for profit,Regular high school diploma
26000,33,Male,Employee of a private for profit,Bachelor's degree
55000,35,Male,Private not-for-profit employee,Bachelor's degree
58000,43,Male,Employee of a private for profit,Regular high school diploma
14900,35,Female,Self employed not incorporated,"some college credit, no degree"
22000,24,Female,Employee of a private for profit,Regular high school diploma
90000,39,Male,Employee of a private for profit,"some college credit, no degree"
32000,29,Male,Employee of a private for profit,"some college credit, no degree"
60000,32,Male,Employee of a private for profit,Master's degree
37000,48,Female,Local government employee,Bachelor's degree
37600,47,Male,Employee of a private for profit,Regular high school diploma
40000,35,Male,Employee of a private for profit,GED or alternative credential
45000,30,Female,Employee of a private for profit,Bachelor's degree
13500,22,Male,Employee of a private for profit,Associate's degree
23000,24,Male,State government employee,Regular high school diploma
7500,25,Female,Employee of a private for profit,Master's degree
38000,26,Male,Employee of a private for profit,"some college credit, no degree"
23200,37,Male,Employee of a private for profit,Regular high school diploma
48000,48,Male,Employee of a private for profit,Bachelor's degree
6300,44,Male,Employee of a private for profit,Master's degree
38000,43,Male,Employee of a private for profit,Associate's degree
32000,32,Female,Employee of a private for profit,"some college credit, no degree"
45000,28,Female,Employee of a private for profit,Doctorate degree
85000,44,Male,Employee of a private for profit,"some college credit, no degree"
14000,20,Male,Employee of a private for profit,"some college credit, no degree"
15000,22,Female,Employee of a private for profit,Regular high school diploma
60000,35,Male,Employee of a private for profit,Regular high school diploma
46000,46,Female,Employee of a private for profit,Associate's degree
20000,24,Male,Employee of a private for profit,"some college credit, no degree"
80000,45,Female,Self employed not incorporated,Regular high school diploma
17100,44,Male,Self employed not incorporated,no high school diploma
44000,29,Female,Local government employee,Associate's degree
33000,32,Female,Local government employee,Associate's degree
47000,44,Female,State government employee,Master's degree
50000,28,Male,Employee of a private for profit,Bachelor's degree
17100,23,Female,Private not-for-profit employee,"some college credit, no degree"
15000,20,Male,Employee of a private for profit,"some college credit, no degree"
45000,32,Male,Employee of a private for profit,Bachelor's degree
25000,26,Female,Employee of a private for profit,"some college credit, no degree"
55000,50,Female,Employee of a private for profit,"some college credit, no degree"
41000,30,Female,State government employee,Bachelor's degree
30000,35,Male,Private not-for-profit employee,Master's degree
25000,33,Male,Employee of a private for profit,Regular high school diploma
48000,43,Female,State government employee,Master's degree
50000,45,Female,Employee of a private for profit,"some college credit, no degree"
60000,28,Male,Employee of a private for profit,Bachelor's degree
